,bIDs,heat
1901,2743,10
1902,2745,10
1903,2746,10
1904,2748,10
1905,2749,10
1906,2750,10
1907,2751,10
1908,2752,10
1909,2753,10
1910,2754,10
1911,2755,10
1912,2757,10
1913,2758,10
1914,2759,10
1915,2760,10
1916,2761,10
1917,2762,10
1918,2764,10
1919,2765,10
1920,2767,10
1921,2768,10
1922,2769,10
1923,2770,10
1924,2772,10
1925,2773,10
1926,2774,10
1927,2776,10
1928,2777,10
1929,2778,10
1930,2779,10
1931,2780,10
1932,2782,10
1933,2783,10
1934,2784,10
1935,2785,10
1936,2786,10
1937,2787,10
1938,2792,10
1939,2795,10
1940,2796,10
1941,2797,10
1942,2799,10
1943,2800,10
1944,2801,10
1945,2802,10
1946,2803,10
1947,2806,10
1948,2808,10
1949,2809,10
1950,2810,10
1951,2811,10
1952,2813,10
1953,2815,10
1954,2816,10
1955,2817,10
1956,2818,10
